******************** INITIAL VS FINAL DECISION TREE CLASSIFICATION REPORT ********************


******************************* SCIKIT-LEARN MODEL *******************************

Correct: 20942, Errors: 3758, Total: 24700
Accuracy: 0.84785
Precision (macro): 0.51385
Recall (macro): 0.51292
F1 Score (macro): 0.51188
Specificity (macro): 0.98199

Confusion Matrix with Labels:
    0   1    2     3     4     5      6    7   8   9
0  13  12   32   103    43     0      0    0   0   0
1  13   4   17    90    42     0      3    4   2   0
2  15  20  567   508    54    17     20   18   8   0
3  42  31  662  2141   167    67    119   83  18  10
4  41  37   79   247  1137    11    248    8  10   1
5   0   2   29    58     8  5550     11    0   3   0
6   0   2   25   105   256    16  10654   15  24   3
7   0   3   84   109    12     1      7  825   8   0
8   0   0    8    18     3     1     29    5  49   0
9   0   0    1     9     0     0      1    0   0   2

******************************* INITIAL MODEL *******************************

Correct: 20936, Errors: 3764, Total: 24700
Accuracy: 0.84761
Precision (macro): 0.51362
Recall (macro): 0.51284
F1 Score (macro): 0.51172
Specificity (macro): 0.98197

Confusion Matrix with Labels:
    0   1    2     3     4     5      6    7   8   9
0  13  12   32   103    43     0      0    0   0   0
1  13   4   17    90    42     0      3    4   2   0
2  15  20  567   508    54    17     20   18   8   0
3  42  31  663  2140   167    67    119   83  18  10
4  41  37   79   247  1137    11    248    8  10   1
5   0   2   30    58     8  5549     11    0   3   0
6   0   2   25   105   260    16  10650   15  24   3
7   0   3   84   109    12     1      7  825   8   0
8   0   0    8    18     3     1     29    5  49   0
9   0   0    2     8     0     0      1    0   0   2

Number of initial rules: 3430

******************************* FINAL MODEL *******************************

Correct: 20835, Errors: 3865, Total: 24700
Accuracy: 0.84352
Precision (macro): 0.51719
Recall (macro): 0.49903
F1 Score (macro): 0.50597
Specificity (macro): 0.98155

Confusion Matrix with Labels:
    0   1    2     3     4     5      6    7   8  9
0  13  12   32   103    43     0      0    0   0  0
1  13   2   17    97    42     0      2    1   1  0
2  15  18  547   544    53    12     17   15   6  0
3  42  31  610  2267   153    46    108   63  13  7
4  41  36   74   336  1082     8    227    5   9  1
5   0   2   24    82     7  5532     11    0   3  0
6   0   2   16   296   199    12  10544    8  20  3
7   0   3   80   138    10     0      5  807   6  0
8   0   0    4    41     2     1     22    4  39  0
9   0   0    2     8     0     0      1    0   0  2

Number of final rules: 1302

******************************* DIVERGENT CASES *******************************
Index: 1, Initial: 7, Final: 3, Actual: 4
Index: 61, Initial: 2, Final: 3, Actual: 7
Index: 128, Initial: 6, Final: 3, Actual: 4
Index: 210, Initial: 2, Final: 3, Actual: 5
Index: 248, Initial: 2, Final: 3, Actual: 3
Index: 292, Initial: 2, Final: 3, Actual: 6
Index: 314, Initial: 6, Final: 3, Actual: 6
Index: 326, Initial: 5, Final: 3, Actual: 2
Index: 433, Initial: 5, Final: 3, Actual: 2
Index: 443, Initial: 7, Final: 3, Actual: 7
Index: 483, Initial: 4, Final: 3, Actual: 3
Index: 501, Initial: 2, Final: 3, Actual: 2
Index: 515, Initial: 5, Final: 3, Actual: 5
Index: 701, Initial: 6, Final: 3, Actual: 6
Index: 712, Initial: 4, Final: 3, Actual: 6
Index: 803, Initial: 4, Final: 3, Actual: 6
Index: 816, Initial: 4, Final: 3, Actual: 6
Index: 835, Initial: 6, Final: 3, Actual: 6
Index: 853, Initial: 1, Final: 3, Actual: 2
Index: 864, Initial: 5, Final: 3, Actual: 5
Index: 911, Initial: 7, Final: 3, Actual: 3
Index: 951, Initial: 1, Final: 3, Actual: 1
Index: 959, Initial: 6, Final: 3, Actual: 3
Index: 981, Initial: 9, Final: 3, Actual: 3
Index: 1002, Initial: 5, Final: 3, Actual: 2
Index: 1024, Initial: 7, Final: 3, Actual: 7
Index: 1074, Initial: 2, Final: 3, Actual: 6
Index: 1086, Initial: 2, Final: 3, Actual: 3
Index: 1105, Initial: 4, Final: 3, Actual: 6
Index: 1152, Initial: 4, Final: 3, Actual: 3
Index: 1182, Initial: 6, Final: 3, Actual: 4
Index: 1243, Initial: 6, Final: 3, Actual: 6
Index: 1284, Initial: 4, Final: 3, Actual: 6
Index: 1505, Initial: 7, Final: 3, Actual: 7
Index: 1511, Initial: 4, Final: 3, Actual: 6
Index: 1676, Initial: 6, Final: 3, Actual: 6
Index: 1722, Initial: 6, Final: 3, Actual: 6
Index: 1784, Initial: 4, Final: 3, Actual: 4
Index: 1801, Initial: 4, Final: 3, Actual: 4
Index: 1843, Initial: 5, Final: 3, Actual: 3
Index: 1876, Initial: 5, Final: 3, Actual: 3
Index: 1883, Initial: 4, Final: 3, Actual: 4
Index: 1897, Initial: 4, Final: 3, Actual: 3
Index: 1919, Initial: 2, Final: 3, Actual: 6
Index: 1926, Initial: 6, Final: 3, Actual: 6
Index: 1943, Initial: 6, Final: 3, Actual: 4
Index: 1962, Initial: 6, Final: 3, Actual: 3
Index: 1984, Initial: 4, Final: 3, Actual: 4
Index: 2046, Initial: 7, Final: 3, Actual: 3
Index: 2081, Initial: 4, Final: 3, Actual: 6
Index: 2150, Initial: 4, Final: 3, Actual: 4
Index: 2312, Initial: 7, Final: 3, Actual: 6
Index: 2330, Initial: 4, Final: 3, Actual: 3
Index: 2347, Initial: 7, Final: 3, Actual: 3
